@relation Iris-weka.filters.unsupervised.instance.Resample-S1-Z85.0

@attribute Id numeric
@attribute SepalLengthCm numeric
@attribute SepalWidthCm numeric
@attribute PetalLengthCm numeric
@attribute PetalWidthCm numeric
@attribute Species {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
17,5.4,3.9,1.3,0.4,Iris-setosa
116,6.4,3.2,5.3,2.3,Iris-virginica
59,6.6,2.9,4.6,1.3,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
43,4.4,3.2,1.3,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
48,4.6,3.2,1.4,0.2,Iris-setosa
39,4.4,3,1.3,0.2,Iris-setosa
13,4.8,3,1.4,0.1,Iris-setosa
42,4.5,2.3,1.3,0.3,Iris-setosa
109,6.7,2.5,5.8,1.8,Iris-virginica
136,7.7,3,6.1,2.3,Iris-virginica
120,6,2.2,5,1.5,Iris-virginica
30,4.7,3.2,1.6,0.2,Iris-setosa
96,5.7,3,4.2,1.2,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
61,5,2,3.5,1,Iris-versicolor
118,7.7,3.8,6.7,2.2,Iris-virginica
127,6.2,2.8,4.8,1.8,Iris-virginica
75,6.4,2.9,4.3,1.3,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
54,5.5,2.3,4,1.3,Iris-versicolor
126,7.2,3.2,6,1.8,Iris-virginica
2,4.9,3,1.4,0.2,Iris-setosa
2,4.9,3,1.4,0.2,Iris-setosa
87,6.7,3.1,4.7,1.5,Iris-versicolor
1,5.1,3.5,1.4,0.2,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
83,5.8,2.7,3.9,1.2,Iris-versicolor
145,6.7,3.3,5.7,2.5,Iris-virginica
26,5,3,1.6,0.2,Iris-setosa
145,6.7,3.3,5.7,2.5,Iris-virginica
25,4.8,3.4,1.9,0.2,Iris-setosa
109,6.7,2.5,5.8,1.8,Iris-virginica
94,5,2.3,3.3,1,Iris-versicolor
4,4.6,3.1,1.5,0.2,Iris-setosa
98,6.2,2.9,4.3,1.3,Iris-versicolor
68,5.8,2.7,4.1,1,Iris-versicolor
131,7.4,2.8,6.1,1.9,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
84,6,2.7,5.1,1.6,Iris-versicolor
58,4.9,2.4,3.3,1,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
78,6.7,3,5,1.7,Iris-versicolor
96,5.7,3,4.2,1.2,Iris-versicolor
101,6.3,3.3,6,2.5,Iris-virginica
20,5.1,3.8,1.5,0.3,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
54,5.5,2.3,4,1.3,Iris-versicolor
141,6.7,3.1,5.6,2.4,Iris-virginica
77,6.8,2.8,4.8,1.4,Iris-versicolor
67,5.6,3,4.5,1.5,Iris-versicolor
47,5.1,3.8,1.6,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
